Middle layer Super Output Areas Code,Middle layer Super Output Areas,Welsh speaking ability (3 categories) Code,Welsh speaking ability (3 categories),Observation,Total,Totalp
W02000126,Pembrokeshire 001,1,Can speak Welsh,3976,8222,48.35806373
W02000127,Pembrokeshire 002,1,Can speak Welsh,3143,9626,32.65115313
W02000128,Pembrokeshire 003,1,Can speak Welsh,2022,7237,27.93975404
W02000129,Pembrokeshire 004,1,Can speak Welsh,2076,7226,28.7295876
W02000130,Pembrokeshire 005,1,Can speak Welsh,759,6707,11.31653496
W02000131,Pembrokeshire 006,1,Can speak Welsh,883,7205,12.25537821
W02000132,Pembrokeshire 007,1,Can speak Welsh,1301,6979,18.6416392
W02000133,Pembrokeshire 008,1,Can speak Welsh,1002,8277,12.10583545
W02000134,Pembrokeshire 009,1,Can speak Welsh,739,8332,8.869419107
W02000135,Pembrokeshire 010,1,Can speak Welsh,615,7350,8.367346939
W02000136,Pembrokeshire 011,1,Can speak Welsh,888,8301,10.69750632
W02000137,Pembrokeshire 012,1,Can speak Welsh,517,7448,6.941460795
W02000138,Pembrokeshire 013,1,Can speak Welsh,706,9657,7.310759035
W02000139,Pembrokeshire 014,1,Can speak Welsh,741,7724,9.593474883
W02000140,Pembrokeshire 015,1,Can speak Welsh,577,7280,7.925824176
W02000141,Pembrokeshire 016,1,Can speak Welsh,678,5786,11.71793985
W02000142,Carmarthenshire 001,1,Can speak Welsh,2837,5568,50.95186782
W02000143,Carmarthenshire 002,1,Can speak Welsh,2196,5579,39.36189281
W02000144,Carmarthenshire 003,1,Can speak Welsh,3457,7606,45.45095977
W02000145,Carmarthenshire 004,1,Can speak Welsh,3176,7087,44.81444899
W02000146,Carmarthenshire 005,1,Can speak Welsh,3206,6525,49.13409962
W02000147,Carmarthenshire 006,1,Can speak Welsh,3261,8469,38.50513638
W02000148,Carmarthenshire 007,1,Can speak Welsh,1741,5288,32.92360061
W02000149,Carmarthenshire 008,1,Can speak Welsh,2496,6451,38.69167571
W02000151,Carmarthenshire 010,1,Can speak Welsh,3816,7410,51.49797571
W02000152,Carmarthenshire 011,1,Can speak Welsh,4165,8653,48.13359528
W02000153,Carmarthenshire 012,1,Can speak Welsh,4184,8670,48.25836217
W02000154,Carmarthenshire 013,1,Can speak Welsh,3665,7838,46.75937739
W02000156,Carmarthenshire 015,1,Can speak Welsh,4647,8419,55.19657917
W02000157,Carmarthenshire 016,1,Can speak Welsh,5693,10109,56.31615392
W02000158,Carmarthenshire 017,1,Can speak Welsh,2256,5888,38.31521739
W02000159,Carmarthenshire 018,1,Can speak Welsh,2458,6192,39.69638243
W02000160,Carmarthenshire 019,1,Can speak Welsh,2569,7653,33.56853521
W02000161,Carmarthenshire 020,1,Can speak Welsh,1240,5195,23.86910491
W02000162,Carmarthenshire 021,1,Can speak Welsh,2366,8214,28.80448016
W02000163,Carmarthenshire 022,1,Can speak Welsh,1349,5336,25.28110945
W02000164,Carmarthenshire 023,1,Can speak Welsh,2189,7438,29.42995429
W02000165,Carmarthenshire 024,1,Can speak Welsh,1314,6587,19.94838318
W02000166,Carmarthenshire 025,1,Can speak Welsh,2103,9164,22.94849411
W02000167,Carmarthenshire 026,1,Can speak Welsh,1863,10311,18.06808263
W02000168,Swansea 001,1,Can speak Welsh,1608,6514,24.68529321
W02000169,Swansea 002,1,Can speak Welsh,1904,9133,20.84747619
W02000170,Swansea 003,1,Can speak Welsh,1005,8678,11.58100945
W02000171,Swansea 004,1,Can speak Welsh,1275,8447,15.09411625
W02000172,Swansea 005,1,Can speak Welsh,1329,10253,12.96205988
W02000173,Swansea 006,1,Can speak Welsh,1027,7899,13.00164578
W02000174,Swansea 007,1,Can speak Welsh,1507,9638,15.63602407
W02000175,Swansea 008,1,Can speak Welsh,704,7350,9.578231293
W02000176,Swansea 009,1,Can speak Welsh,807,8947,9.019783168
W02000177,Swansea 010,1,Can speak Welsh,889,6997,12.70544519
W02000178,Swansea 011,1,Can speak Welsh,626,8914,7.022660983
W02000179,Swansea 012,1,Can speak Welsh,748,6479,11.54499151
W02000180,Swansea 013,1,Can speak Welsh,672,8011,8.388465859
W02000181,Swansea 014,1,Can speak Welsh,568,7407,7.668421763
W02000182,Swansea 015,1,Can speak Welsh,485,7526,6.444326335
W02000183,Swansea 016,1,Can speak Welsh,678,10216,6.636648395
W02000184,Swansea 017,1,Can speak Welsh,634,6773,9.360696885
W02000185,Swansea 018,1,Can speak Welsh,582,5028,11.575179
W02000186,Swansea 019,1,Can speak Welsh,466,8836,5.273879584
W02000188,Swansea 021,1,Can speak Welsh,570,8076,7.05794948
W02000189,Swansea 022,1,Can speak Welsh,840,8243,10.19046464
W02000191,Swansea 024,1,Can speak Welsh,1066,8779,12.14261305
W02000192,Swansea 025,1,Can speak Welsh,599,9123,6.565822646
W02000193,Swansea 026,1,Can speak Welsh,860,8816,9.754990926
W02000194,Swansea 027,1,Can speak Welsh,865,6537,13.23236959
W02000195,Swansea 028,1,Can speak Welsh,651,5788,11.24740843
W02000196,Swansea 029,1,Can speak Welsh,678,6278,10.79961771
W02000197,Swansea 030,1,Can speak Welsh,597,6044,9.877564527
W02000198,Swansea 031,1,Can speak Welsh,859,7256,11.8384785
W02000200,Neath Port Talbot 002,1,Can speak Welsh,939,5127,18.31480398
W02000201,Neath Port Talbot 003,1,Can speak Welsh,840,5283,15.90005679
W02000202,Neath Port Talbot 004,1,Can speak Welsh,3064,12454,24.60253734
W02000204,Neath Port Talbot 006,1,Can speak Welsh,771,6602,11.67827931
W02000205,Neath Port Talbot 007,1,Can speak Welsh,584,5730,10.19197208
W02000206,Neath Port Talbot 008,1,Can speak Welsh,565,6604,8.555420957
W02000207,Neath Port Talbot 009,1,Can speak Welsh,538,5249,10.24957135
W02000208,Neath Port Talbot 010,1,Can speak Welsh,1207,12715,9.492725128
W02000210,Neath Port Talbot 012,1,Can speak Welsh,536,6182,8.670333225
W02000211,Neath Port Talbot 013,1,Can speak Welsh,688,7821,8.79682905
W02000212,Neath Port Talbot 014,1,Can speak Welsh,950,7738,12.27707418
W02000213,Neath Port Talbot 015,1,Can speak Welsh,563,6747,8.344449385
W02000214,Neath Port Talbot 016,1,Can speak Welsh,671,9657,6.948327638
W02000215,Neath Port Talbot 017,1,Can speak Welsh,605,9464,6.392645816
W02000216,Neath Port Talbot 018,1,Can speak Welsh,602,7192,8.370411568
W02000217,Neath Port Talbot 019,1,Can speak Welsh,526,6397,8.222604346
W02000218,Bridgend 001,1,Can speak Welsh,520,6666,7.800780078
W02000219,Bridgend 002,1,Can speak Welsh,835,7174,11.63925286
W02000220,Bridgend 003,1,Can speak Welsh,566,7982,7.090954648
W02000221,Bridgend 004,1,Can speak Welsh,732,7688,9.521331946
W02000222,Bridgend 005,1,Can speak Welsh,714,6174,11.56462585
W02000223,Bridgend 006,1,Can speak Welsh,561,6005,9.342214821
W02000224,Bridgend 007,1,Can speak Welsh,557,6498,8.571868267
W02000225,Bridgend 008,1,Can speak Welsh,706,8881,7.94955523
W02000226,Bridgend 009,1,Can speak Welsh,946,10012,9.448661606
W02000227,Bridgend 010,1,Can speak Welsh,660,7400,8.918918919
W02000228,Bridgend 011,1,Can speak Welsh,1250,12164,10.27622493
W02000229,Bridgend 012,1,Can speak Welsh,402,6127,6.561122899
